OID,bonusPointsEarned,bonusPointsEarnedReason,CREATEDATE,DATESCANNED,FINISHEDDATE,MODIFYDATE,AWARDDATE,pointsEarned,PURCHASEDATE,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
5ff1e1a10a720f0523000568,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:17,2021-01-03 10:24:17,2021-01-03 10:39:20,2021-01-03 10:39:20,2021-01-03 10:24:19,750,2021-01-01 19:00:00,5,FINISHED,50,5ff1e194b6a9d73a3a9f1052
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:38,2021-01-03 10:24:38,,2021-01-03 10:24:38,,8850,2021-02-03 10:24:38,10,FLAGGED,290,5ff1e194b6a9d73a3a9f1052
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 16:17:59,2020-10-30 16:17:59,,2021-01-03 10:24:54,2020-10-30 16:18:00,750,2020-10-29 16:17:59,11,REJECTED,1,5f9c74f7c88c1415cbddb839
5ff1e1b20a7214ada100055a,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:34,2021-01-03 10:24:34,2021-01-03 10:24:35,2021-01-03 10:24:35,2021-01-03 10:24:35,300,2021-02-03 10:24:35,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e90a7214ada1000569,,,2021-01-03 10:25:29,2021-01-03 10:25:29,,2021-01-03 10:25:29,,,,0,FLAGGED,0,5ff1e1e9b6a9d73a3a9f10f6
5ff1e1df0a7214ada1000564,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:19,2021-01-03 10:25:19,2021-01-03 10:25:20,2021-01-03 10:25:25,2021-01-03 10:25:19,750,2021-01-02 10:25:19,2,FINISHED,11,5ff1e1dfcfcf6c399c274ab3
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:36,2021-01-03 10:24:36,,2021-01-03 10:24:37,2021-01-03 10:24:36,750,2021-01-02 10:24:36,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54
5ff1e1eb0a720f0523000576,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:31,2021-01-03 10:25:31,2021-01-03 10:25:32,2021-01-03 10:25:36,2021-01-03 10:25:32,300,2021-01-02 19:00:00,2,FINISHED,26,5ff1e1eacfcf6c399c274ae6
5ff1e1c80a720f052300056d,5,All-receipts receipt bonus,2021-01-03 10:24:56,2021-01-03 10:24:56,2021-01-03 10:25:02,2021-01-03 10:25:02,2021-01-03 10:24:56,5,2021-01-02 10:24:56,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5f9c74f90a7214ad07000038,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 16:18:01,2020-10-30 16:18:01,2021-01-03 10:39:55,2021-01-03 10:39:55,2021-01-03 10:39:55,389.2,2020-10-29 16:18:01,6,FINISHED,14,5f9c74e3f1937815bd2c1d73
5ff1e1960a720f0523000567,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:06,2021-01-03 10:24:06,2021-01-03 10:24:10,2021-01-03 10:24:10,2021-01-03 10:24:10,750,2021-01-02 10:24:06,1,FINISHED,1,5ff1e196cfcf6c399c274a38
5ff1e1ec0a7214ada100056c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:32,2021-01-03 10:25:32,2021-01-03 10:25:32,2021-01-03 10:25:37,2021-01-03 10:25:32,150,2021-01-02 19:00:00,2,FINISHED,21,5ff1e1eacfcf6c399c274ae6
5ff1e1d70a720f0523000571,40,COMPLETE_PARTNER_RECEIPT,2021-01-03 10:25:11,2021-01-03 10:25:11,2021-01-03 10:25:12,2021-01-03 10:25:12,2021-01-03 10:25:12,185,2021-01-02 10:25:11,2,FINISHED,2,5ff1e194b6a9d73a3a9f1052
5ff1e1c60a7214ada100055e,5,All-receipts receipt bonus,2021-01-03 10:24:54,2021-01-03 10:24:54,2021-01-03 10:24:59,2021-01-03 10:24:59,2021-01-03 10:24:54,5,2021-01-02 10:24:54,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1ee0a7214ada1000570,5,All-receipts receipt bonus,2021-01-03 10:25:34,2021-01-03 10:25:34,2021-01-03 10:25:35,2021-01-03 10:25:40,2021-01-03 10:25:35,5,2021-01-02 19:00:00,5,FINISHED,27,5ff1e1eacfcf6c399c274ae6
5ff1e1cf0a720f0523000570,5,All-receipts receipt bonus,2021-01-03 10:25:03,2021-01-03 10:25:03,2021-01-03 10:25:09,2021-01-03 10:25:09,2021-01-03 10:25:03,5,2021-01-02 10:25:03,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e10a720f0523000572,25,COMPLETE_NONPARTNER_RECEIPT,2021-01-03 10:25:21,2021-01-03 10:25:21,2021-01-03 10:25:21,2021-01-03 10:25:26,2021-01-03 10:25:21,35,2021-01-02 10:25:21,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1d40a7214ada1000562,,,2021-01-03 10:25:08,2021-01-03 10:25:08,,2021-01-03 10:25:08,,,2017-10-29 20:00:00,3,REJECTED,3,5ff1e194b6a9d73a3a9f1052
5ff1e1ee0a720f0523000578,5,All-receipts receipt bonus,2021-01-03 10:25:34,2021-01-03 10:25:34,2021-01-03 10:25:34,2021-01-03 10:25:39,2021-01-03 10:25:34,5,2021-01-02 19:00:00,4,FINISHED,27,5ff1e1eacfcf6c399c274ae6
5ff371030a7214ada10005a5,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:48:19,2021-01-04 14:48:19,2021-01-04 14:48:20,2021-01-04 14:48:20,2021-01-04 14:48:20,650,2020-12-19 19:00:00,10,FINISHED,10,5ff370c562fde912123a5e0e
5ff36dcc0a720f05230005b1,5,All-receipts receipt bonus,2021-01-04 14:34:36,2021-01-04 14:34:36,2021-01-04 14:34:36,2021-01-04 14:34:36,2021-01-04 14:34:36,55,2021-01-04 14:34:36,1,FINISHED,0.99,5ff36d0362fde912123a5535
5ff36c750a7214ada100058f,,,2021-01-04 14:28:53,2021-01-04 14:28:53,2021-01-04 14:28:54,2021-01-04 14:28:54,2021-01-04 14:28:54,500,2021-01-03 14:28:53,9,FINISHED,89.91,5ff36be7135e7011bcb856d3
5ff36d860a720f05230005a7,45,COMPLETE_PARTNER_RECEIPT,2021-01-04 14:33:26,2021-01-04 14:33:26,2021-01-04 14:33:26,2021-01-04 14:33:26,2021-01-04 14:33:26,50,2021-01-03 14:33:26,1,FINISHED,1,54943462e4b07e684157a532
5ff36d9f0a720f05230005ab,45,COMPLETE_PARTNER_RECEIPT,2021-01-04 14:33:51,2021-01-04 14:33:51,2021-01-04 14:33:51,2021-01-04 14:33:51,2021-01-04 14:33:51,50,2020-12-19 14:33:51,1,FINISHED,1,5ff36d0362fde912123a5535
5ff36adb0a720f0523000590,,,2021-01-04 14:22:03,2021-01-04 14:22:03,2021-01-04 14:22:04,2021-01-04 14:22:04,2021-01-04 14:22:04,250,2020-12-30 1:00:00,5,FINISHED,49.95,5ff36a3862fde912123a4460
5ff36da00a7214ada100059b,5,All-receipts receipt bonus,2021-01-04 14:33:52,2021-01-04 14:33:52,2021-01-04 14:33:52,2021-01-04 14:33:52,2021-01-04 14:33:52,5,2021-01-03 14:33:52,1,FINISHED,1,5ff36d0362fde912123a5535
5ff36dc40a7214ada100059f,5,All-receipts receipt bonus,2021-01-04 14:34:28,2021-01-04 14:34:28,2021-01-04 14:34:28,2021-01-04 14:34:28,2021-01-04 14:34:28,355,2021-01-03 14:34:28,9,FINISHED,89.91,5ff36d0362fde912123a5535
5ff3710b0a7214ada10005a7,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:48:27,2021-01-04 14:48:27,2021-01-04 14:48:28,2021-01-04 14:48:28,2021-01-04 14:48:28,600,2021-01-03 14:48:27,9,FINISHED,89.91,5ff370c562fde912123a5e0e
5ff36d780a7214ada1000593,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:33:12,2021-01-04 14:33:12,2021-01-04 14:33:14,2021-01-04 14:33:14,2021-01-04 14:33:14,1750,2021-01-04 14:33:12,1,FINISHED,10,5ff36d78135e7011bcb86488
5ff371410a7214ada10005ba,45,COMPLETE_PARTNER_RECEIPT,2021-01-04 14:49:21,2021-01-04 14:49:21,2021-01-04 14:49:21,2021-01-04 14:49:21,2021-01-04 14:49:21,350,2021-01-03 14:49:21,1,FINISHED,1,5ff370c562fde912123a5e0e
5ff36c8b0a720f05230005a1,5,All-receipts receipt bonus,2021-01-04 14:29:15,2021-01-04 14:29:15,2021-01-04 14:29:17,2021-01-04 14:29:17,2021-01-04 14:29:17,5,2021-01-03 14:29:15,1,FINISHED,1,54943462e4b07e684157a532
5ff36c550a7214ada1000588,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:28:21,2021-01-04 14:28:21,2021-01-04 14:28:21,2021-01-04 14:28:21,2021-01-04 14:28:21,750,2021-01-01 1:00:00,5,FINISHED,25,5ff36be7135e7011bcb856d3
5ff36acb0a720f052300058d,5,All-receipts receipt bonus,2021-01-04 14:21:47,2021-01-04 14:21:47,2021-01-04 14:21:48,2021-01-04 14:21:48,2021-01-04 14:21:48,55,2021-01-03 14:21:47,9,FINISHED,89.91,5ff36a3862fde912123a4460
5ff371450a7214ada10005bd,5,All-receipts receipt bonus,2021-01-04 14:49:25,2021-01-04 14:49:25,2021-01-04 14:49:26,2021-01-04 14:49:26,2021-01-04 14:49:26,5,2020-12-24 1:00:00,5,FINISHED,49.95,5ff370c562fde912123a5e0e
5ff36d9d0a720f05230005aa,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:33:49,2021-01-04 14:33:49,2021-01-04 14:33:49,2021-01-04 14:33:49,2021-01-04 14:33:49,225,2021-01-01 1:00:00,5,FINISHED,25,5ff36d0362fde912123a5535
5ff36c590a7214ada1000589,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:28:25,2021-01-04 14:28:25,2021-01-04 14:28:25,2021-01-04 14:28:25,2021-01-04 14:28:25,275,2020-12-30 1:00:00,5,FINISHED,25,5ff36be7135e7011bcb856d3
5ff29be20a7214ada1000571,25,COMPLETE_NONPARTNER_RECEIPT,2021-01-03 23:38:58,2021-01-03 23:38:58,2021-01-03 23:39:06,2021-01-03 23:39:09,2021-01-03 23:39:06,25,2021-01-02 19:00:00,1,FINISHED,1,5964eb07e4b03efd0c0f267b
5ff3416f0a7214ada1000576,25,COMPLETE_NONPARTNER_RECEIPT,2021-01-04 11:25:19,2021-01-04 11:25:19,2021-01-04 11:25:19,2021-01-04 11:25:19,2021-01-04 11:25:19,25,2021-01-03 19:00:00,1,FINISHED,28.57,5c3388caea88e15513a95069
5ff36c6d0a720f0523000597,5,All-receipts receipt bonus,2021-01-04 14:28:45,2021-01-04 14:28:45,2021-01-04 14:28:45,2021-01-04 14:28:45,2021-01-04 14:28:45,5,2021-01-03 14:28:45,4,FINISHED,18.2,5ff36be7135e7011bcb856d3
5ff36a830a7214ada100057b,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:20:35,2021-01-04 14:20:35,2021-01-04 14:20:36,2021-01-04 14:20:36,2021-01-04 14:20:36,100,2020-12-19 14:20:35,1,FINISHED,1,5ff36a3862fde912123a4460
5ff36c570a720f0523000593,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:28:23,2021-01-04 14:28:23,2021-01-04 14:28:23,2021-01-04 14:28:23,2021-01-04 14:28:23,250,2021-01-03 14:28:23,1,FINISHED,10,5ff36be7135e7011bcb856d3
5ff3713c0a7214ada10005b6,,,2021-01-04 14:49:16,2021-01-04 14:49:16,2021-01-04 14:49:16,2021-01-04 14:49:16,2021-01-04 14:49:16,350,2021-01-03 14:49:16,1,FINISHED,10,5ff370c562fde912123a5e0e
5ff371130a7214ada10005aa,45,COMPLETE_PARTNER_RECEIPT,2021-01-04 14:48:35,2021-01-04 14:48:35,2021-01-04 14:48:36,2021-01-04 14:48:36,2021-01-04 14:48:36,100,2021-01-04 14:48:35,1,FINISHED,0.99,5ff370c562fde912123a5e0e
5ff370f00a7214ada10005a3,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:48:00,2021-01-04 14:48:00,2021-01-04 14:48:01,2021-01-04 14:48:01,2021-01-04 14:48:01,500,2020-12-20 19:00:00,5,FINISHED,49.95,5ff370c562fde912123a5e0e
5ff371240a7214ada10005b3,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 14:48:52,2021-01-04 14:48:52,2021-01-04 14:48:52,2021-01-04 14:48:52,2021-01-04 14:48:52,755,2021-01-03 14:48:52,1,FINISHED,1,5ff37124135e7011bcb86bc3
5ff36c8d0a7214ada1000591,5,All-receipts receipt bonus,2021-01-04 14:29:17,2021-01-04 14:29:17,2021-01-04 14:29:17,2021-01-04 14:29:17,2021-01-04 14:29:17,5,2021-01-03 14:29:17,1,FINISHED,1,54943462e4b07e684157a532
5ff36ad40a7214ada1000585,5,All-receipts receipt bonus,2021-01-04 14:21:56,2021-01-04 14:21:56,2021-01-04 14:21:56,2021-01-04 14:21:56,2021-01-04 14:21:56,55,2021-01-04 14:21:56,1,FINISHED,0.99,5ff36a3862fde912123a4460
5ff36dcb0a7214ada10005a0,5,All-receipts receipt bonus,2021-01-04 14:34:35,2021-01-04 14:34:35,2021-01-04 14:34:36,2021-01-04 14:34:36,2021-01-04 14:34:36,5,2021-01-03 14:34:35,1,FINISHED,9.99,5ff36d0362fde912123a5535
5ff3416d0a7214ada1000575,25,COMPLETE_NONPARTNER_RECEIPT,2021-01-04 11:25:17,2021-01-04 11:25:17,2021-01-04 11:25:17,2021-01-04 11:25:17,2021-01-04 11:25:17,25,2021-01-03 19:00:00,1,FINISHED,28.57,5c3388caea88e15513a95069
5ff4ce430a7214ada10005d8,5,All-receipts receipt bonus,2021-01-05 15:38:27,2021-01-05 15:38:27,2021-01-05 15:38:28,2021-01-05 15:38:33,2021-01-05 15:38:28,5,2021-01-04 19:00:00,4,FINISHED,25,5ff4ce3dc3d63511e2a484dc
5ff4ce400a7214ada10005d5,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 15:38:24,2021-01-05 15:38:24,2021-01-05 15:38:24,2021-01-05 15:38:29,2021-01-05 15:38:24,150,2021-01-04 19:00:00,5,FINISHED,27,5ff4ce3dc3d63511e2a484dc
5ff4a4ca0a7214ada10005d0,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 12:41:30,2021-01-05 12:41:30,,2021-01-05 12:41:32,,750,2020-09-12 20:00:00,2,REJECTED,34.96,5fbc35711d967d1222cbfefc
5ff473de0a720f05230005bd,5,All-receipts receipt bonus,2021-01-05 9:12:46,2021-01-05 9:12:46,2021-01-05 9:12:47,2021-01-05 9:12:47,2021-01-05 9:12:47,5,2020-12-23 9:12:46,1,FINISHED,1,54943462e4b07e684157a532
5ff4ce8c0a7214ada10005e6,25,COMPLETE_NONPARTNER_RECEIPT,2021-01-05 15:39:40,2021-01-05 15:39:40,2021-01-05 15:39:41,2021-01-05 15:39:46,2021-01-05 15:39:41,35,2021-01-04 15:39:40,1,FINISHED,1,5ff4ce33c3d63511e2a484b6
5ff4ce3d0a7214ada10005d3,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 15:38:21,2021-01-05 15:38:21,2021-01-05 15:38:22,2021-01-05 15:38:27,2021-01-05 15:38:22,750,2021-01-04 19:00:00,2,FINISHED,29,5ff4ce3dc3d63511e2a484dc
5ff473b40a7214ada10005c5,45,COMPLETE_PARTNER_RECEIPT,2021-01-05 9:12:04,2021-01-05 9:12:04,2021-01-05 9:12:04,2021-01-05 9:12:04,2021-01-05 9:12:04,50,2021-01-04 9:12:04,1,FINISHED,1,5ff47392c3d63511e2a47881
5ff473f30a720f05230005c0,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 9:13:07,2021-01-05 9:13:07,2021-01-05 9:13:08,2021-01-05 9:13:08,2021-01-05 9:13:08,1800,2021-01-05 9:13:07,1,FINISHED,10,5ff473f3c1e2d0121a9b2707
5ff4ce3a0a7214ada10005d2,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 15:38:18,2021-01-05 15:38:18,2021-01-05 15:38:19,2021-01-05 15:38:23,2021-01-05 15:38:19,750,2021-01-04 19:00:00,2,FINISHED,21,5ff4ce3ac1e2d0121a9b2fb3
5ff473a90a7214ada10005c2,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 9:11:53,2021-01-05 9:11:53,2021-01-05 9:11:54,2021-01-05 9:11:54,2021-01-05 9:11:54,275,2020-12-31 1:00:00,5,FINISHED,25,5ff47392c3d63511e2a47881
5ff473b10a7214ada10005c4,,,2021-01-05 9:12:01,2021-01-05 9:12:01,2021-01-05 9:12:01,2021-01-05 9:12:01,2021-01-05 9:12:01,250,2021-01-02 1:00:00,5,FINISHED,49.95,5ff47392c3d63511e2a47881
5ff475820a7214ada10005cf,,,2021-01-05 9:19:46,2021-01-05 9:19:46,,2021-01-05 9:19:46,,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612
5ff4ce550a7214ada10005db,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 15:38:45,2021-01-05 15:38:45,2021-01-05 15:38:51,2021-01-05 15:38:51,2021-01-05 15:38:46,300,2021-01-04 15:38:45,2,FINISHED,1,5ff4ce33c3d63511e2a484b6
5ff4ce430a720f05230005c9,5,All-receipts receipt bonus,2021-01-05 15:38:27,2021-01-05 15:38:27,2021-01-05 15:38:27,2021-01-05 15:38:32,2021-01-05 15:38:27,5,2021-01-04 19:00:00,1,FINISHED,29,5ff4ce3dc3d63511e2a484dc
5ff473d40a7214ada10005c9,5,All-receipts receipt bonus,2021-01-05 9:12:36,2021-01-05 9:12:36,2021-01-05 9:12:37,2021-01-05 9:12:37,2021-01-05 9:12:37,5,2021-01-05 9:12:36,1,FINISHED,9.99,5ff47392c3d63511e2a47881
5ff4ce690a7214ada10005e2,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 15:39:05,2021-01-05 15:39:05,,2021-01-05 15:39:07,2021-01-05 15:39:06,810,2021-01-04 15:39:04,5,FLAGGED,13,5ff4ce68c1e2d0121a9b3022
5ff473f60a7214ada10005ce,,,2021-01-05 9:13:10,2021-01-05 9:13:10,2021-01-05 9:13:11,2021-01-05 9:13:11,2021-01-05 9:13:11,250,2020-12-31 1:00:00,5,FINISHED,49.95,5ff47392c3d63511e2a47881
5ff473cf0a7214ada10005c8,5,All-receipts receipt bonus,2021-01-05 9:12:31,2021-01-05 9:12:31,2021-01-05 9:12:32,2021-01-05 9:12:32,2021-01-05 9:12:32,305,2021-01-04 9:12:31,1,FINISHED,9.99,5ff47392c3d63511e2a47881
5fa5ad370a720f05ef000089,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-11-06 15:08:23,2020-11-06 15:08:23,2021-01-05 15:53:40,2021-01-05 15:53:40,2021-01-05 15:53:40,9449.8,2020-11-05 15:08:23,11,FINISHED,291,5fa5ad376a26f611e71ab5ef
5ff4ce650a7214ada10005e1,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 15:39:01,2021-01-05 15:39:01,,2021-01-05 15:39:02,2021-01-05 15:39:02,750,2021-01-04 15:39:01,1,FLAGGED,1,5ff4ce65c3d63511e2a4853b
5ff473e40a7214ada10005cc,45,COMPLETE_PARTNER_RECEIPT,2021-01-05 9:12:52,2021-01-05 9:12:52,2021-01-05 9:12:53,2021-01-05 9:12:53,2021-01-05 9:12:53,50,2021-01-04 9:12:52,1,FINISHED,1,54943462e4b07e684157a532
5ff4ce3c0a720f05230005c4,,,2021-01-05 15:38:20,2021-01-05 15:38:20,,2021-01-05 15:38:20,,,,0,FLAGGED,0,5ff4ce3cc1e2d0121a9b2fba
5ff473d00a720f05230005bb,5,All-receipts receipt bonus,2021-01-05 9:12:32,2021-01-05 9:12:32,2021-01-05 9:12:32,2021-01-05 9:12:32,2021-01-05 9:12:32,55,2021-01-05 9:12:32,1,FINISHED,0.99,5ff47392c3d63511e2a47881
5ff473b20a720f05230005b7,5,All-receipts receipt bonus,2021-01-05 9:12:02,2021-01-05 9:12:02,2021-01-05 9:12:03,2021-01-05 9:12:03,2021-01-05 9:12:03,5,2020-12-25 1:00:00,5,FINISHED,49.95,5ff47392c3d63511e2a47881
5ff473ad0a7214ada10005c3,45,COMPLETE_PARTNER_RECEIPT,2021-01-05 9:11:57,2021-01-05 9:11:57,2021-01-05 9:11:57,2021-01-05 9:11:57,2021-01-05 9:11:57,50,2021-01-04 9:11:57,1,FINISHED,1,5ff47392c3d63511e2a47881
5ff4ce640a7214ada10005e0,25,COMPLETE_NONPARTNER_RECEIPT,2021-01-05 15:39:00,2021-01-05 15:39:00,2021-01-05 15:39:00,2021-01-05 15:39:00,2021-01-05 15:39:00,25,2021-02-05 15:39:00,1,FINISHED,1,5ff4ce33c3d63511e2a484b6
5ff4ce3f0a720f05230005c6,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 15:38:23,2021-01-05 15:38:23,2021-01-05 15:38:24,2021-01-05 15:38:28,2021-01-05 15:38:24,300,2021-01-04 19:00:00,2,FINISHED,29,5ff4ce3dc3d63511e2a484dc
5ff4ce4e0a7214ada10005da,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 15:38:38,2021-01-05 15:38:38,2021-01-05 15:38:44,2021-01-05 15:38:44,2021-01-05 15:38:38,500,2021-01-04 15:38:38,2,FINISHED,1,5ff4ce33c3d63511e2a484b6
5ff473bc0a720f05230005b8,,,2021-01-05 9:12:12,2021-01-05 9:12:12,2021-01-05 9:12:13,2021-01-05 9:12:13,2021-01-05 9:12:13,91.2,2021-01-04 9:12:12,4,FINISHED,18.2,5ff47392c3d63511e2a47881
5ff4a80e0a720f05230005c2,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05 12:55:26,2021-01-05 12:55:26,2021-01-05 12:55:29,2021-01-05 12:55:29,2021-01-05 12:55:29,750,2020-12-29 19:00:00,2,FINISHED,34.96,5fbc35711d967d1222cbfefc
5ff5d1da0a7214ada10005f8,5,All-receipts receipt bonus,2021-01-06 10:06:02,2021-01-06 10:06:02,2021-01-06 10:06:03,2021-01-06 10:06:03,2021-01-06 10:06:03,5,2020-12-21 10:06:02,1,FINISHED,1,5ff5d15aeb7c7d12096d91a2
